customer_id,first_name,last_name,email,signup_date,country,revenue
1,Alice,Smith,alice@example.com,2024-01-15,UK,1200.50
2,Bob,Jones,,2024-02-20,US,850.00
3,Charlie,Brown,charlie@example.com,2024-03-10,UK,-50.00
4,Diana,Prince,diana@example.com,2024-04-05,DE,3200.75
5,Eve,Williams,eve@invalid,2024-05-12,US,0.00
6,Frank,Miller,frank@example.com,2024-06-01,UK,999.99
7,Grace,Lee,,2024-07-18,JP,1500.00
8,Hank,Davis,hank@example.com,2024-08-22,US,200.00
9,Ivy,Chen,ivy@example.com,2024-09-30,UK,-100.00
10,Jack,Wilson,jack@example.com,2024-10-11,DE,4500.00
